utc_timestamp,cet_cest_timestamp,interpolated_values,DE_KN_industrial3_area_offices,DE_KN_industrial3_area_room_chemistry,DE_KN_industrial3_area_room_clean,DE_KN_industrial3_area_room_printing1,DE_KN_industrial3_compressor,DE_KN_industrial3_cooling_aggregate,DE_KN_industrial3_cooling_pumps,DE_KN_industrial3_dishwasher,DE_KN_industrial3_facility_cvd_centrotherm,DE_KN_industrial3_facility_diffusion_centrotherm,DE_KN_industrial3_facility_diffusion_tecnofirmes,DE_KN_industrial3_facility_furnace_centrotherm,DE_KN_industrial3_facility_indus_rena,DE_KN_industrial3_refrigerator,DE_KN_industrial3_ventilation,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine
2017-02-01T14:00:00Z,2017-02-01T15:00:00+0100,,13208.265625,4963.08496094,22716.8632812,4515.40014648,39565,56603.46875,144131.375,699.3754251,108659.9375,169721.4375,348.72265625,32773.09375,4184.90625,377.884331882,151746.5625,1078.48801367,917.506972168,278.057995725,413.500177294,1036.79686123
2017-02-01T15:00:00Z,2017-02-01T16:00:00+0100,,13210.3349609,4964.09960938,22720.6601562,4519.23022461,39574.5,56603.65625,144144.25,699.50018096,108669.53125,169738.9375,348.75,32802.53125,4184.90625,377.917809665,151765.5625,1078.56552832,917.509505127,278.057995725,413.531398684,1037.22921902
2017-02-01T16:00:00Z,2017-02-01T17:00:00+0100,"DE_KN_residential1_washing_machine | DE_KN_residential2_dishwasher | DE_KN_residential2_circulation_pump | DE_KN_residential2_heating | DE_KN_residential1_dishwasher | DE_KN_residential1_freezer",13212.6806641,4964.52490234,22723.1660156,4523.01000977,39583.671875,56603.8125,144157.15625,699.500287771,108678.96875,169757.25,348.79296875,32831.59375,4184.90625,377.938107669,151781.6875,1078.64249365,917.511977051,278.057995725,413.558452517,1037.27479157
2017-02-01T17:00:00Z,2017-02-01T18:00:00+0100,"DE_KN_residential1_dishwasher | DE_KN_residential1_freezer | DE_KN_residential1_washing_machine",13215.3056641,4964.79980469,22725.6601562,4524.42993164,39590.40625,56604.03125,144170.125,699.500379324,108690.59375,169773.4375,348.83203125,32860.96875,4184.90625,377.957909763,151796.4375,1078.7144541,917.515028808,278.057995725,413.565303713,1037.27572018
2017-02-01T18:00:00Z,2017-02-01T19:00:00+0100,"DE_KN_residential1_dishwasher | DE_KN_residential1_freezer | DE_KN_residential1_washing_machine | DE_KN_residential3_refrigerator",13216.9003906,4965.08007812,22726.890625,4525.50024414,39597.234375,56604.21875,144183.15625,699.500470877,108700.03125,169789.5625,348.86328125,32885.390625,4184.90625,377.977708042,151810.8125,1078.7835459,917.518019531,278.057995725,413.596173704,1037.27582699
2017-02-01T19:00:00Z,2017-02-01T20:00:00+0100,"DE_KN_residential3_refrigerator | DE_KN_residential2_dishwasher",13217.8554688,4965.359375,22728.1601562,4525.91992188,39603.9375,56604.375,144196.21875,699.500592947,108709.46875,169805.75,348.90234375,32895.53125,4184.90625,377.99847271,151823.9375,1078.85501807,917.519972656,278.057995725,413.621051699,1037.27582699
2017-02-01T20:00:00Z,2017-02-01T21:00:00+0100,"DE_KN_residential3_refrigerator | DE_KN_residential2_dishwasher | DE_KN_residential5_dishwasher",13218.4248047,4965.63964844,22729.4453125,4525.95019531,39610.671875,56604.59375,144209.34375,699.5006845,108718.90625,169821.875,348.93359375,32896.875,4184.90625,378.028208911,151835.9375,1078.92600195,917.523024414,278.057995725,413.632900149,1037.27587277
2017-02-01T21:00:00Z,2017-02-01T22:00:00+0100,"DE_KN_residential5_dishwasher | DE_KN_residential2_dishwasher",13218.890625,4965.92480469,22730.734375,4525.95996094,39617.40625,56604.78125,144221.84375,699.500791311,108728.40625,169838.0625,348.9609375,32898.21875,4184.90625,378.05270499,151845.625,1078.99753516,917.524977539,278.057995725,413.671901613,1037.52951962
2017-02-01T22:00:00Z,2017-02-01T23:00:00+0100,DE_KN_residential3_dishwasher,13219.3349609,4966.20507812,22732.03125,4525.97998047,39624.234375,56604.9375,144233.875,699.500882864,108737.84375,169854.1875,349,32899.5625,4184.90625,378.071206272,151855.125,1079.06796973,917.528029297,278.057995725,413.689901898,1037.55471951
2017-02-01T23:00:00Z,2017-02-02T00:00:00+0100,DE_KN_residential3_refrigerator,13219.7695312,4966.49023438,22733.3007812,4526,39630.984375,56605.15625,144245.03125,699.500974417,108747.28125,169870.375,349.03125,32900.921875,4184.90625,378.089707553,151864.625,1079.11301367,917.529982422,278.057995725,413.70864597,1037.55491787
